number|certdate|org_name|org_address|lab_name|lab_address|phone|cellphone|email|www|research_fields|research_objects
AB 581|2005-02-10|Powiatowa Stacja Sanitarno-Epidemiologiczna w Ostrowii Mazowieckiej|ul. Gen. Wł. Sikorskiego 3; 07-300 Ostrów Mazowiecka|Oddział Laboratoryjny|ul. Gen. Wł. Sikorskiego 3; 07-300 Ostrów Mazowiecka|29 644-06-80||ostrow@psse.waw.pl||Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 582|2005-02-24|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wałbrzychu|ul. Armii Krajowej 35C; 58-302 Wałbrzych|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wałbrzychu|ul. Armii Krajowej 35C; 58-302 Wałbrzych|74 847-75-68||psse.walbrzych@pis.gov.pl|psse.walbrzych.ibpi.wroc.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 583|2005-02-24|Powiatowa Stacja Sanitarno-Epidemiologiczna w Toruniu|ul. Szosa Bydgoska 1; 87-100 Toruń|Oddział Laboratoryjny|ul. Kopernika 9; 87-100 Toruń|56 653-93-76||lab@torun.psse.gov.pl|torun.psse.gov.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 584|2005-02-24|Wojewódzki Inspektorat Weterynarii we Wrocławiu|ul. Januszowicka 48; 53-135 Wrocław|Zakład Higieny Weterynaryjnej we Wrocławiu|ul. Januszowicka 48; 53-135 Wrocław|71 367-70-16||zhw.wroclaw@wroc.wiw.gov.pl|www.wroc.wiw.gov.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 585|2005-02-28|Wojewódzki Inspektorat Weterynarii w Opolu|ul. Wrocławska 170; 45-836 Opole|Zakład Higieny Weterynaryjnej|ul. Wrocławska 170; 45-836 Opole|77 457-50-10||zhw.sekretariat@wiw.opole.pl|www.wiw.opole.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 586|2005-03-03|Powiatowa Stacja Sanitarno-Epidemiologiczna w Janowie Lubelskim|ul. Wojska Polskiego 28; 23-300 Janów Lubelski|Oddział Laboratoryjny|ul. Wojska Polskiego 28; 23-300 Janów Lubelski|15 872-54-06||sekretariat@sanepid-janowlub.pl|www.sanepid-janowlub.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 587|2005-03-02|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Szczecinie Dział Laboratoryjny|ul. Spedytorska 6/7; 70-632 Szczecin|Oddział Laboratoryjny w Koszalinie|ul. Zwycięstwa 136; 75-613 Koszalin|94 316-01-17||b.solczak@wsse.szczecin.pl|wsse.szczecin.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 589|2005-03-02|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Szczecinie Dział Laboratoryjny|ul. Spedytorska 6/7; 70-632 Szczecin|Oddział Laboratoryjny w Kamieniu Pomorskim|ul. Wolińska 7; 72-400 Kamień Pomorski|91 321-07-46||olkamienpomorski@wsse.szczecin.pl|www.wsse.szczecin.pl|Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 590|2005-03-16|Wojewódzki Inspektorat Ochrony Środowiska w Łodzi|ul. Lipowa 16; 90-743 Łódź|Laboratorium w Łodzi|ul. Lipowa 16; 90-743 Łódź|42 632-13-06||laboratorium@wios.lodz.pl|www.wios.lodz.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 591|2005-03-07|Powiatowa Stacja Sanitarno-Epidemiologiczna w Radomiu|ul. gen. L.Okulickiego 9d; 26-601 Radom|Oddział Laboratoryjny|ul. gen. L.Okulickiego 9d; 26-601 Radom|48 345-15-94||radom@psse.waw.pl|www.psse.waw.pl|Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 592|2005-03-10|Urząd Ochrony Konkurencji i Konsumentów|Pl. Powstańców Warszawy 1; 00-950 Warszawa|Laboratorium Kontrolno-Analityczne z siedzibą w Warszawie|ul. Sienkiewicza 3; 00-015 Warszawa|22 826-17-17||lwa@uokik.gov.pl||Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 594|2005-03-29|Wojewódzki Inspektorat Weterynarii w Zielonej Górze|ul. Botaniczna 14; 65-306 Zielona Góra|Zakład Higieny Weterynaryjnej w Gorzowie Wielkopolskim|ul. Bohaterów Warszawy 4; 66-400 Gorzów Wielkopolski|95 720-42-63||gorzowwlkp.zhw@wet.zgora.pl||Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Badania inne (M)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 595|2005-03-31|Podhalański Szpital Specjalistyczny im. Jana Pawła II|ul. Szpitalna 14; 34-400 Nowy Targ|Zespół Laboratoriów Badawczych|ul. Jana Kazimierza 6; 34-400 Nowy Targ|18 266-35-32| 604-565-102|lab_nowytarg@pszs.eu|www.psze.eu|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 596|2005-05-16|Centralne Laboratorium Kryminalistyczne Policji|Al. Ujazdowskie 7; 00-583 Warszawa|Centralne Laboratorium Kryminalistyczne Policji|Al. Ujazdowskie 7; 00-583 Warszawa|22 601-55-95||clk@policja.gov.pl|clk.policja.pl|Badania w dziedzinie nauk sądowych (I)|Obiekty i materiały biologiczne przeznaczone do badań :: Wyroby inne
AB 597|2005-04-11|Wojewódzki Inspektorat Farmaceutyczny w Poznaniu|ul. Szwajcarska 5; 61-285 Poznań|Laboratorium Kontroli Jakości Leków|ul. Nowogrodzka 36; 61-048 Poznań|61 870-80-83||wif-laboratorium@poznan.uw.gov.pl|wif.poznan.ibip.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K)|Wyroby farmaceutyczne
AB 598|2005-04-07|Wojewódzki Inspektorat Weterynarii z/s w Siedlcach|ul. Kazimierzowska 29; 08-110 Siedlce|Zakład Higieny Weterynaryjnej w Warszawie|ul. Lechicka 21; 02-156 Warszawa|22 846-30-51||zhw.wawa@wiw.mazowsze.pl|www.zhw.wawa.wiw.mazowsze.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 599|2005-04-20|F.H.U. LAB-MIECH Dariusz Krycha|ul. Szarkowiec 30; 32-250 Miechów-Charsznica|Laboratorium Badań Fizykochemicznych|ul. Racławicka 43 lok. nr 3; 32-200 Miechów|| 602-453-259|labmiech@wp.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 600|2005-04-26|Powiatowa Stacja Sanitarno-Epidemiologiczna we Włocławku|ul. Kilińskiego 16; 87-800 Włocławek|Powiatowa Stacja Sanitarno-Epidemiologiczna we Włocławku|ul. Kilińskiego 16; 87-800 Włocławek|54 411-68-33||jakosc@pssewloclawek.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 601|2005-05-05|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Krakowie|ul. Prądnicka 76; 31-202 Kraków|Wojewódzka Stacja Sanitarno-Epidemiologiczna w Krakowie|ul. Prądnicka 76; 31-202 Kraków|12 254-94-04||dzlab@wsse.krakow.pl|www.wsse.krakow.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Szkło i ceramika :: Wyposażenie medyczne :: Papier, tektura, materiały opakowaniowe :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 602|2005-05-04|Powiatowa Stacja Sanitarno-Epidemiologiczna w Chełmie|ul. Szpitalna 48; 22-100 Chełm|Oddział Laboratoryjny|ul. Szpitalna 48; 22-100 Chełm|82 565-34-21||ol@pssechelm.pl|www.pssechelm.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 603|2005-04-29|Powiatowa Stacja Sanitarno-Epidemiologiczna w Zamościu|ul. Peowiaków 96; 22-400 Zamość|Oddział Laboratoryjny|ul. Peowiaków 96; 22-400 Zamość|84 627-10-59||www.lab@pssezamosc.internetdsl.pl|www.pssezamosc.netbip.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 604|2005-05-04|Wojewódzki Inspektorat Weterynarii w Olsztynie|ul. Szarych Szeregów 7; 10-072 Olsztyn|Zakład Higieny Weterynaryjnej w Olsztynie|ul. Warszawska 109; 10-702 Olsztyn|89 524-05-07||zhw@olsztyn.wiw.gov.pl|www.olsztyn.wiw.gov.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 606|2005-06-20|Wojewódzki Inspektorat Weterynarii w Gdańsku|ul. Na Stoku 50; 80-958 Gdańsk|Zakład Higieny Weterynaryjnej|ul. Kaprów 10; 80-316 Gdańsk|58 552-12-68||zhwo@gdansk.wiw.gov.pl|www.gdansk.wiw.gov.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania kliniczne medyczne i weterynaryjne (D) :: Badania mikrobiologiczne (K) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O)|Produkty rolne - w tym pasze dla zwierząt :: Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 608|2005-05-18|Centrum Badawczo-Rozwojowe PALAB Spółka z o.o.|ul. 28 Czerwca 1956 r. nr 223/229; 61-485 Poznań|Laboratorium Badawcze|ul. 28 Czerwca 1956 r. nr 223/229; 61-485 Poznań|61 831-17-80||biuro@palab.pl|www.palab.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 609|2005-06-06|Powiatowa Stacja Sanitarno-Epidemiologiczna w Lesznie|ul. Niepodległości 66; 64-100 Leszno|Oddział Laboratoryjny|ul. Niepodległości 66; 64-100 Leszno|65 526-15-15||anna.nowacka@psse-leszno.pl|www.psse-leszno.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 610|2005-06-10|"""AQUA"" Spółka Akcyjna"|ul. 1 Maja 23; 43-300 Bielsko-Biała|"""AQUA"" Spółka Akcyjna"|ul. 1 Maja 23; 43-300 Bielsko-Biała|33 813-85-30||laboratorium@aqua.com.pl|www.aqua.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 611|2005-06-10|Powiatowa Stacja Sanitarno-Epidemiologiczna w Starogardzie Gdańskim|ul. Kanałowa 5; 83-200 Starogard Gdański|Powiatowa Stacja Sanitarno-Epidemiologiczna w Starogardzie Gdańskim|ul. Kanałowa 5; 83-200 Starogard Gdański|58 562-40-11||sekretariat@psse-starogard.pl||Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 614|2005-06-28|Powiatowa Stacja Sanitarno-Epidemiologiczna w Ełku|ul. Toruńska 6a/1; 19-300 Ełk|Powiatowa Stacja Sanitarno-Epidemiologiczna w Ełku|ul. Toruńska 6a/1; 19-300 Ełk|87 621-77-65||laboratorium.psseelk@visacom.pl|www.bip.visacom.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 616|2005-06-24|Powiatowa Stacja Sanitarno-Epidemiologiczna w Pile|al. Wojska Polskiego 43; 64-920 Piła|Oddział Laboratoryjny|al. Wojska Polskiego 43; 64-920 Piła|67 351-98-00||laboratorium.lbwig@psse-pila.pl||Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Obiekty i materiały biologiczne przeznaczone do badań :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
